5;VE 5000 - CELJE;8;VO 5008 - VELENJE 2;12263;12149;114;99,07
5;VE 5000 - CELJE;9;VO 5009 - SLOVENJ GRADEC;13452;13346;106;99,21
5;VE 5000 - CELJE;10;VO 5010 - RAVNE NA KOROŠKEM;15047;14896;151;99,00
5;VE 5000 - CELJE;11;VO 5011 - RADLJE;14362;14216;146;98,98
6;VE 6000 - NOVO MESTO;0;VE 6000 - NOVO MESTO;153725;152089;1636;98,94
6;VE 6000 - NOVO MESTO;1;VO 6001 - ČRNOMELJ;14838;14641;197;98,67
6;VE 6000 - NOVO MESTO;2;VO 6002 - NOVO MESTO 1;17831;17632;199;98,88
6;VE 6000 - NOVO MESTO;3;VO 6003 - NOVO MESTO 2;18670;18496;174;99,07
6;VE 6000 - NOVO MESTO;4;VO 6004 - TREBNJE;12283;12128;155;98,74
6;VE 6000 - NOVO MESTO;5;VO 6005 - BREŽICE;13663;13528;135;99,01
6;VE 6000 - NOVO MESTO;6;VO 6006 - KRŠKO;15963;15804;159;99,00
6;VE 6000 - NOVO MESTO;7;VO 6007 - SEVNICA;11965;11831;134;98,88
6;VE 6000 - NOVO MESTO;8;VO 6008 - LAŠKO;10521;10403;118;98,88
6;VE 6000 - NOVO MESTO;9;VO 6009 - LITIJA;12888;12748;140;98,91
6;VE 6000 - NOVO MESTO;10;VO 6010 - HRASTNIK-TRBOVLJE;14831;14685;146;99,02
6;VE 6000 - NOVO MESTO;11;VO 6011 - ZAGORJE;10272;10193;79;99,23
7;VE 7000 - MARIBOR;0;VE 7000 - MARIBOR;141461;140100;1361;99,04
7;VE 7000 - MARIBOR;1;VO 7001 - ŠMARJE PRI JELŠAH;17965;17717;248;98,62
7;VE 7000 - MARIBOR;2;VO 7002 - SLOVENSKA BISTRICA;17854;17683;171;99,04
7;VE 7000 - MARIBOR;3;VO 7003 - SLOVENSKE KONJICE;13948;13805;143;98,97
7;VE 7000 - MARIBOR;4;VO 7004 - RUŠE;8733;8664;69;99,21
7;VE 7000 - MARIBOR;5;VO 7005 - MARIBOR 1;16709;16578;131;99,22
7;VE 7000 - MARIBOR;6;VO 7006 - MARIBOR 2;15007;14894;113;99,25
7;VE 7000 - MARIBOR;7;VO 7007 - MARIBOR 3;11757;11638;119;98,99
7;VE 7000 - MARIBOR;8;VO 7008 - MARIBOR 4;8899;8832;67;99,25
7;VE 7000 - MARIBOR;9;VO 7009 - MARIBOR 5;10524;10403;121;98,85
7;VE 7000 - MARIBOR;10;VO 7010 - MARIBOR 6;11342;11253;89;99,22
7;VE 7000 - MARIBOR;11;VO 7011 - MARIBOR 7;8723;8633;90;98,97
8;VE 8000 - PTUJ;0;VE 8000 - PTUJ;137445;136074;1371;99,00
8;VE 8000 - PTUJ;1;VO 8001 - LENDAVA;12241;12107;134;98,91
8;VE 8000 - PTUJ;2;VO 8002 - ORMOŽ;9589;9479;110;98,85
8;VE 8000 - PTUJ;3;VO 8003 - LJUTOMER;9886;9766;120;98,79
8;VE 8000 - PTUJ;4;VO 8004 - MURSKA SOBOTA 1;15354;15203;151;99,02
8;VE 8000 - PTUJ;5;VO 8005 - MURSKA SOBOTA 2;16859;16694;165;99,02
8;VE 8000 - PTUJ;6;VO 8006 - GORNJA RADGONA;11850;11732;118;99,00
8;VE 8000 - PTUJ;7;VO 8007 - LENART;10824;10721;103;99,05
8;VE 8000 - PTUJ;8;VO 8008 - PESNICA;11661;11565;96;99,18
8;VE 8000 - PTUJ;9;VO 8009 - PTUJ 1;14858;14702;156;98,95
8;VE 8000 - PTUJ;10;VO 8010 - PTUJ 2;11555;11482;73;99,37
8;VE 8000 - PTUJ;11;VO 8011 - PTUJ 3;12768;12623;145;98,86
241151
0;5127;3,35
